"item_code","category_code","item_name","fkko_code","hazard_class"
"89443111394","OSSG","осадок отстоя вод промывки металлических труб при их подготовке к монтажу","89443111394","5"
"91110001313","OSSG","воды подсланевые и/или льяльные с содержанием нефти и нефтепродуктов 15% и более","91110001313","5"
"91110002314","OSSG","воды подсланевые и/или льяльные с содержанием нефти и нефтепродуктов менее 15%","91110002314","5"
"91115000000","OSSG","Отходы обслуживания оборудования и устройств морских и речных судов для предотвращения загрязнения нефтью","91115000000","5"
"91115111313","OSSG","отходы при мойке и зачистке сборных танков для нефтесодержащих вод морских и речных судов, содержащие нефть и/или нефтепродукты 15% и более","91115111313","5"
"91120000000","OSSG","Отходы обслуживания оборудования для транспортирования, хранения и обработки нефти и нефтепродуктов","91120000000","5"
"91120001393","OSSG","шлам очистки танков нефтеналивных судов","91120001393","5"
"91120002393","OSSG","шлам очистки емкостей и трубопроводов от нефти и нефтепродуктов","91120002393","5"
"91120003394","OSSG","отходы от зачистки оборудования для транспортирования, хранения и подготовки нефти и нефтепродуктов малоопасные","91120003394","5"
"91120005334","OSSG","отходы от зачистки оборудования для транспортирования и/или хранения нефтепродуктов (содержание нефтепродуктов менее 15%)","91120005334","5"
"91120007313","OSSG","отходы очистки оборудования транспортировки и/или хранения нефтепродуктов (содержание нефтепродуктов 15% и более)","91120007313","5"
"91120011393","OSSG","отходы от зачистки оборудования для транспортирования, хранения и подготовки газа, газового конденсата и нефтегазоконденсатной смеси","91120011393","5"
"91120061313","OSSG","воды от промывки оборудования для транспортирования и хранения нефти и/или нефтепродуктов (содержание нефтепродуктов 15% и более)","91120061313","5"
"91120062314","OSSG","воды от промывки оборудования для транспортирования и хранения нефти и/или нефтепродуктов (содержание нефтепродуктов менее 15%)","91120062314","5"
"91120111314","OSSG","подтоварная вода резервуаров хранения нефти и нефтепродуктов с содержанием нефти и нефтепродуктов менее 15%","91120111314","5"
"91120112303","OSSG","подтоварная вода резервуаров хранения нефти и нефтепродуктов с содержанием нефти и нефтепродуктов 15% и более","91120112303","5"
"91120511393","OSSG","шлам очистки емкостей и трубопроводов от нефти и нефтепродуктов, извлеченный из открытого хранилища","91120511393","5"
"91121001313","OSSG","смесь нефтепродуктов обводненная при зачистке маслосборника системы распределения масла","91121001313","5"
"91127211394","OSSG","отходы зачистки и промывки газоперекачивающих агрегатов","91127211394","5"
"91128111523","OSSG","фильтры очистки жидкого топлива при заправке транспортных средств отработанные (содержание нефтепродуктов 15% и более)","91128111523","5"
"91128112524","OSSG","фильтры очистки жидкого топлива при заправке транспортных средств отработанные (содержание нефтепродуктов менее 15%)","91128112524","5"
"91128212524","OSSG","фильтры дыхательного клапана, отработанные при хранении нефти и/или нефтепродуктов","91128212524","5"
"91128732524","OSSG","фильтрующие элементы (патроны) фильтр-сепаратора для очистки природного газа отработанные","91128732524","5"
"91129111524","OSSG","понтоны резервуаров полимерные, загрязненные нефтепродуктами (содержание нефтепродуктов менее 15%)","91129111524","5"
"91129511494","OSSG","твердые остатки термической обработки деталей нефтяного оборудования в печах обжига","91129511494","5"
"91200000000","OSSG","Отходы обслуживания и ремонта печей и печного оборудования","91200000000","5"
"91210000000","OSSG","Отходы огнеупорных материалов от ремонта печей и печного оборудования","91210000000","5"
"91210200000","OSSG","Отходы обмуровок котлов","91210200000","5"
"91210221214","OSSG","лом обмуровки паровых котлов","91210221214","5"
"91210222215","OSSG","лом обмуровки паровых котлов практически неопасный","91210222215","5"
"91210231205","OSSG","отходы глины при ремонте теплоизоляции паровых котлов","91210231205","5"
"91210700000","OSSG","Лом футеровок печей и печного оборудования производств неметаллов","91210700000","5"
"91210731204","OSSG","лом графитовой футеровки печей и печного оборудования производства кремния","91210731204","5"
"91210732204","OSSG","лом графитовой футеровки печей и печного оборудования производства углеродных волокон","91210732204","5"
"91210741204","OSSG","лом прочих футеровок печей и печного оборудования производства кремния","91210741204","5"
"91210900000","OSSG","Лом футеровок печей и печного оборудования производства черных металлов и изделий из них","91210900000","5"
"91210911204","OSSG","лом футеровок печей и печного оборудования производства черных металлов","91210911204","5"
"91210914204","OSSG","лом периклазовой (высокомагнезиальной) футеровки печей и печного оборудования производства черных металлов","91210914204","5"
"91210915204","OSSG","лом футеровки печей выплавки ферросплавов","91210915204","5"
"91210916204","OSSG","лом футеровки печей обжига сырья для производства ферросплавов","91210916204","5"
"91210921205","OSSG","лом футеровок печей и печного оборудования электрометаллургических производств черных металлов","91210921205","5"
"91210961204","OSSG","лом футеровок печей и печного оборудования производства изделий из черных металлов","91210961204","5"
"91210981204","OSSG","лом футеровок печного оборудования для спекания порошков черных металлов","91210981204","5"
"91211000000","OSSG","Лом футеровок алюминиевого производства","91211000000","5"
"91211001214","OSSG","лом футеровки миксеров алюминиевого производства","91211001214","5"
"91211002214","OSSG","лом футеровки пламенных печей и печей переплава алюминиевого производства","91211002214","5"
"91211003214","OSSG","лом футеровки разливочных и вакуумных ковшей алюминиевого производства","91211003214","5"
"91211004214","OSSG","лом кирпичной футеровки алюминиевых электролизеров","91211004214","5"
"91211005214","OSSG","лом угольной футеровки алюминиевых электролизеров","91211005214","5"
"91211006214","OSSG","лом карбидно-кремниевой футеровки алюминиевых электролизеров","91211006214","5"
"91211200000","OSSG","Лом футеровок печей и печного оборудования производства свинца, цинка, олова и изделий из них","91211200000","5"
"91211216204","OSSG","лом футеровок печей и печного оборудования производства свинца и свинцовых сплавов из вторичного сырья","91211216204","5"
"91211231214","OSSG","лом футеровки печей обжига сульфидного цинкового концентрата и/или печей вельцевания цинксодержащего сырья","91211231214","5"
"91211400000","OSSG","Лом футеровок печей и печного оборудования производства меди, никеля и кобальта","91211400000","5"
"91211411204","OSSG","лом футеровки печей и печного оборудования производства черновой меди","91211411204","5"
"91211431204","OSSG","лом футеровок печей и печного оборудования производства никелевого штейна и никеля","91211431204","5"
"91211471204","OSSG","лом футеровки печей и печного оборудования производства медных катодов","91211471204","5"
"91211700000","OSSG","Лом футеровок печей и печного оборудования производства драгоценных металлов (серебра, золота, сплавов драгоценных металлов и т.д.)","91211700000","5"
"91211711203","OSSG","лом футеровок печей и печного оборудования аффинажного производства","91211711203","5"
"91211911204","OSSG","лом футеровок печей и печного оборудования производства титана, титановых изделий и ферротитана","91211911204","5"
"91212100000","OSSG","Лом футеровок печей и печного оборудования при литье металлов","91212100000","5"
"91212111204","OSSG","лом футеровок печей плавки черных и цветных металлов","91212111204","5"
"91212114205","OSSG","лом футеровок печей и печного оборудования литья черных и цветных металлов","91212114205","5"
"91212121204","OSSG","лом асбестовых футеровок печей и печного оборудования плавки черных и цветных металлов","91212121204","5"
"91212221204","OSSG","лом асбестовых футеровок печей и печного оборудования производства изделий из черных и цветных металлов, связанного с предварительным нагревом заготовок","91212221204","5"
"91212311204","OSSG","лом футеровки печей и печного оборудования литья армированной хлористомедной электродной ленты","91212311204","5"
"91214000000","OSSG","Лом футеровок печей и печного оборудования производства минеральной неорганической продукции","91214000000","5"
"91214200000","OSSG","Лом футеровок печей и печного оборудования производства изделий огнеупорных","91214200000","5"
"91214211204","OSSG","лом футеровок печей и печного оборудования производства огнеупорных изделий и материалов","91214211204","5"
"91214311204","OSSG","лом футеровок печей и печного оборудования производства керамических изделий и материалов","91214311204","5"
"91214500000","OSSG","Лом футеровок печей и печного оборудования производства цемента, извести, гипса","91214500000","5"
"91214511204","OSSG","лом футеровок печей и печного оборудования производства цементного клинкера","91214511204","5"
"91214541204","OSSG","лом футеровок печей и печного оборудования производства негашеной извести","91214541204","5"
"91214611204","OSSG","лом футеровок печей и печного оборудования производства теплоизоляционных материалов на основе минерального волокна","91214611204","5"
